year,ssb,rec_obs,rec_pred_om,rec_pred_ss3,rec_resid_om,rec_resid_ss3,rec_mult_om,rec_resid_std,resid_percentile,residual_class,sigmaR_lower_95,sigmaR_upper_95,sigmaR_lower_80,sigmaR_upper_80,below_sigmaR_95,above_sigmaR_95,inside_sigmaR_95
2009,13332.0847879,3478680,7813456.567944291,8143644.688070066,-0.8091945367789481,-0.8505849186961285,0.4452165273781304,-2.8902459228452715,0,lower 10%,-0.71445,0.60555,-0.47685000000000005,0.36795000000000005,TRUE,FALSE,FALSE
2010,7076.1274195999995,6232750,7037915.700256752,7610289.314934078,-0.12149441310394771,-0.19968354095651186,0.8855960010678484,-0.43391808189690334,0.4,central,-0.71445,0.60555,-0.47685000000000005,0.36795000000000005,FALSE,FALSE,TRUE
2011,9163.521230084001,6432530,7394201.966590719,7860195.790238146,-0.13932824609172023,-0.20044358685093933,0.8699424263854513,-0.49761698054562775,0.34285714285714286,central,-0.71445,0.60555,-0.47685000000000005,0.36795000000000005,FALSE,FALSE,TRUE
2012,10393.449937373398,6297420,7547475.870036825,7965121.082389544,-0.18107315980330974,-0.23493211934287572,0.8343743138021161,-0.6467214960716763,0.22857142857142856,central,-0.71445,0.60555,-0.47685000000000005,0.36795000000000005,FALSE,FALSE,TRUE
2013,12085.574328784,10335800,7714285.08457576,8077601.439832471,0.292539781127946,0.2465186200498426,1.3398260352946787,1.0449295776929464,0.8,central,-0.71445,0.60555,-0.47685000000000005,0.36795000000000005,FALSE,FALSE,TRUE
2014,15843.283936338,6979390,7970930.053280651,8247269.440165829,-0.13283965985226054,-0.1669206482068457,0.8756054755652319,-0.47444104312801066,0.37142857142857144,central,-0.71445,0.60555,-0.47685000000000005,0.36795000000000005,FALSE,FALSE,TRUE
2015,10428.497238984,10932100,7551395.26851846,7967784.2573379455,0.3699710655168911,0.3162969717025632,1.4476927258165893,1.3214986999850364,0.8857142857142857,central,-0.71445,0.60555,-0.47685000000000005,0.36795000000000005,FALSE,FALSE,TRUE
2016,14594.431609734998,6285870,7898610.497721412,8199867.910443617,-0.2283826003553937,-0.26581378837459546,0.795819720672814,-0.8157013929295892,0.14285714285714285,central,-0.71445,0.60555,-0.47685000000000005,0.36795000000000005,FALSE,FALSE,TRUE
2017,10410.004633335,9747510,7549329.990967675,7966381.053645039,0.2555530513733082,0.20178154915837254,1.2911755098349544,0.9128203473550941,0.7428571428571429,central,-0.71445,0.60555,-0.47685000000000005,0.36795000000000005,FALSE,FALSE,TRUE
2018,16459.959121587,8775480,8003012.12048136,8268196.10837934,0.0921434828345955,0.05954510821017678,1.0965221428993885,0.3291539223237503,0.6285714285714286,central,-0.71445,0.60555,-0.47685000000000005,0.36795000000000005,FALSE,FALSE,TRUE
2019,16137.115224277999,11295200,7986490.040719701,8257426.744558956,0.34662648748045477,0.3132648498522279,1.4142883722900286,1.2381165178506772,0.8571428571428571,central,-0.71445,0.60555,-0.47685000000000005,0.36795000000000005,FALSE,FALSE,TRUE
2020,19216.129274712,9317410,8123494.9355780855,8346234.685811495,0.13712422072235242,0.11007419175159683,1.146970617190019,0.4898161571793508,0.6857142857142857,central,-0.71445,0.60555,-0.47685000000000005,0.36795000000000005,FALSE,FALSE,TRUE
2021,18174.254158321,6832240,8081840.266393522,8319352.171869484,-0.1679670176674879,-0.1969318031686793,0.8453817168857322,-0.5999089673147965,0.2571428571428571,central,-0.71445,0.60555,-0.47685000000000005,0.36795000000000005,FALSE,FALSE,TRUE
2022,12825.814494164,7059840,7775203.020074431,8118242.164420135,-0.09651718127224207,-0.13969126016483635,0.9079942969685204,-0.3447043856564839,0.42857142857142855,central,-0.71445,0.60555,-0.47685000000000005,0.36795000000000005,FALSE,FALSE,TRUE
2023,10633.201073701,7313180,7573849.668882524,7983022.741767053,-0.03502328128277732,-0.08763892974660159,0.965582935986505,-0.12506042545850524,0.4857142857142857,central,-0.71445,0.60555,-0.47685000000000005,0.36795000000000005,FALSE,FALSE,TRUE
2024,10815.812884945599,8667340,7593270.534473213,7996176.566038069,0.13229953958897234,0.08059844045316211,1.1414501775816548,0.4725833573242493,0.6571428571428571,central,-0.71445,0.60555,-0.47685000000000005,0.36795000000000005,FALSE,FALSE,TRUE
